Epsilon,N_Iter,F_Call_Count,Grad_Call_Count
0.1,2,15,2
0.01,2,15,2
0.001,2,15,2
0.0001,2,15,2
1e-05,2,15,2
1e-06,2,15,2
1e-07,2,15,2
1e-08,2,15,2
