Epsilon,N_Iter,F_Call_Count,Grad_Call_Count,X_min_x,X_min_y,F_min
0.1,4,40,4,0.012340829994104146,-9.872663993774206e-07,0.00015229618241287485
0.01,6,60,6,7.691726380028151e-05,-6.153381103350111e-09,5.916269256931997e-09
0.001,6,60,6,7.691726380028151e-05,-6.153381103350111e-09,5.916269256931997e-09
0.0001,8,80,8,4.794057995986277e-07,-3.835246398346916e-11,2.298300677799489e-13
1e-05,8,80,8,4.794057995986277e-07,-3.835246398346916e-11,2.298300677799489e-13
1e-06,8,80,8,4.794057995986277e-07,-3.835246398346916e-11,2.298300677799489e-13
1e-07,10,100,10,2.988014778073796e-09,-2.3904118242186233e-13,8.928238028056085e-18
1e-08,10,100,10,2.988014778073796e-09,-2.3904118242186233e-13,8.928238028056085e-18
