P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,2,39,2
3.0,3.0,2,39,2
4.0,1.0,2,37,2
0.0,2.0,2,37,2
-1.0,3.0,2,37,2
