P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,4178,105357,4178
3.0,3.0,8208,208204,8208
4.0,1.0,8244,203237,8244
0.0,2.0,10000,221149,10000
-1.0,3.0,10000,230245,10000
