P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,30,735,30
3.0,3.0,34,806,34
4.0,1.0,24,540,24
0.0,2.0,32,804,32
-1.0,3.0,6,132,6
