P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,10000,119996,31279
3.0,3.0,10000,120268,31038
4.0,1.0,10000,119870,31892
0.0,2.0,10000,119657,32635
-1.0,3.0,10000,119991,32014
