P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,48,623,48
3.0,3.0,49,637,49
4.0,1.0,51,664,51
0.0,2.0,45,605,45
-1.0,3.0,43,553,43
