P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,10000,1019064,10124
3.0,3.0,10000,1019164,10029
4.0,1.0,10000,1019062,10225
0.0,2.0,3,228,13
-1.0,3.0,5,252,123
