P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,10000,201519,10000
3.0,3.0,10000,193321,10000
4.0,1.0,10000,201087,10000
0.0,2.0,10000,192243,10000
-1.0,3.0,10000,197512,10000
