P_x,P_y,N_Iter,F_Call_Count,Grad_Call_Count
2.0,2.5,29,242,83
3.0,3.0,28,230,77
4.0,1.0,28,234,79
0.0,2.0,38,331,109
-1.0,3.0,11,98,28
