Step,N_Iter,X_min_x,X_min_y,F_min
0.1,9,nan,-inf,nan
0.01,72,2.9999999998699503,2.000000000313968,1.4849399829843437e-18
0.001,804,2.999999999853159,2.0000000003545066,1.8931583890513092e-18
