Epsilon,N_Iter,F_Call_Count,Grad_Call_Count,X_min_x,X_min_y,F_min
0.1,215,3215,215,0.027602912971863687,0.00040119998627532853,0.000778016947431013
0.01,330,4932,330,0.0027170867495580307,-3.967697669959897e-05,7.539986652625877e-06
0.001,444,6634,444,0.0002727409651255142,-4.1842263747782715e-06,7.613840909313598e-08
0.0001,559,8351,559,2.6847197727268297e-05,4.138022384277788e-07,7.37895255059824e-10
1e-05,674,10068,674,2.6426980834189828e-06,-4.092328597706769e-08,7.151324693622452e-12
1e-06,789,11785,789,2.601334124720573e-07,4.047139381178466e-09,6.930732600142607e-14
1e-07,904,13502,904,2.560617601720529e-08,-4.0024491630178896e-10,6.71695849526642e-16
1e-08,1018,15204,1018,2.570346037439686e-09,-4.220874357036875e-11,6.7848365555608096e-18
