Epsilon,N_Iter,F_Call_Count,Grad_Call_Count,X_min_x,X_min_y,F_min
0.1,2,105,3,0.0,0.0,0.0
0.01,2,105,3,0.0,0.0,0.0
0.001,2,105,3,0.0,0.0,0.0
0.0001,2,105,3,0.0,0.0,0.0
1e-05,2,105,3,0.0,0.0,0.0
1e-06,2,105,3,0.0,0.0,0.0
1e-07,2,105,3,0.0,0.0,0.0
1e-08,2,105,3,0.0,0.0,0.0
