Epsilon,N_Iter,F_Call_Count,Grad_Call_Count,X_min_x,X_min_y,F_min
0.1,6,18,6,-0.02047999999999997,-0.02559999999999997,0.0010747903999999973
0.01,9,27,9,0.0013107199999999979,0.0016383999999999973,4.402341478399986e-06
0.001,11,33,11,0.0002097151999999996,0.00026214399999999953,1.1269994184703959e-07
0.0001,14,42,14,-1.342177279999997e-05,-1.6777215999999962e-05,4.6161896180547376e-10
1e-05,16,48,16,-2.1474836479999942e-06,-2.6843545599999936e-06,1.1817445422220123e-11
1e-06,19,57,19,1.3743895347199948e-07,1.717986918399994e-07,4.840425644941352e-14
1e-07,21,63,21,2.199023255551991e-08,2.7487790694399893e-08,1.239148965104985e-15
1e-08,24,72,24,-1.4073748835532731e-09,-1.7592186044415922e-09,5.075554161070013e-18
