Step,N_Iter,X_min_x,X_min_y,F_min
0.1,243,7.060034896770557e-24,nan,nan
0.01,1000000,1.2e-322,-2.0,400.0
0.001,9895,4.995805167810676e-09,1e-323,2.4958069274723862e-17
0.0001,99026,4.9999717049099474e-09,1.2e-322,2.4999717049900087e-17
1e-05,990340,4.999985173178659e-09,1.23e-321,2.4999851732006424e-17
1e-06,1000000,0.2706705664730416,2.713522547803834e-87,0.07326255555483724
