Step,N_Iter,X_min_x,X_min_y,F_min
0.1,92,3.035420144102704e-09,3.035420144102704e-09,1.8427550902448958e-17
0.01,999,3.5047216934942795e-09,3.5047216934942795e-09,2.456614829769882e-17
0.001,10068,3.5333701487051693e-09,3.5333701487051693e-09,2.496940921552158e-17
0.0001,100759,3.5352979756912692e-09,3.5352979756912692e-09,2.4996663553853572e-17
1e-05,1000000,4.121565286183822e-09,4.121565286183822e-09,3.397460081655107e-17
1e-06,1000000,0.2706705664730416,0.2706705664730416,0.14652511110967448
